letter,page,drug_name,sanskrit_name,transliteration,ref_drug_name,botanical_correlation,status,discussion,reference
D,2,Dhuttura,धुत्तूर,dhuttūra,धत्तूर,Datura innoxia Mill.,Accepted source,This species is originally from Mexico but found all over India,[3]
D,2,Dhuttura,धुत्तूर,dhuttūra,धत्तूर प्रजाति,Datura innoxia Mill.,Accepted source,This species is originally from Mexico but found all over India,[3]
D,2,Dhuttura,धुत्तूर,dhuttūra,धत्तूर,Datura metel Linn.,Accepted source,Identified with it,[3]
D,2,Dhuttura,धुत्तूर,dhuttūra,धुत्तूर,Datura metel Linn.,Accepted source,Identified with it,[1]
D,2,Dhuttura,धुत्तूर,dhuttūra,धत्तूर,Datura stramonium Linn.,Accepted source,This species is the black variety of Dhattura found around  8000 feet above Himalaya,[3]
D,2,Dhuttura,धुत्तूर,dhuttūra,धत्तूर प्रजाति,Datura stramonium Linn.,Accepted source,This species is the black variety of Dhattura found around  8000 feet above Himalaya,[3]
D,2,Dhuttura - krsna,धुत्तूर कॄष्ण,dhuttūra kṝṣṇa,धुत्तूर कॄष्ण,Datura stramonium Linn.,Accepted source,Identified with it,[1]
D,2,Dhyama,ध्याम,dhyāma,ध्याम,Cymbopogon sp.,Accepted source,Identified with it,[1]
D,2,Dhyamaka,ध्यामक,dhyāmaka,ध्यामक,Valeriana pyrolaefolia Decne.,Accepted source,"In Caraka samhita, 'Dhyamaka' is mentioned among the fragrant drugs; With references from Susruta samhita we can know that 'Dhyamaka' is a blackish coloured fragrant drug; Cakrapani has interpreted it as 'Gandhatrna' and Dalhana as 'Kattrna', so according to them it was a grass variety but it is not; With all the above references regarding its morphology it should be considered as a plant from the 'Mamsi' family; According to the author it is identified with this species which has resemblance with 'Mamsi'",[5]
D,2,Dilla,डिल्ल,ḍilla,डिल्ल,Indigofera oblongifolia Fosk.,Accepted source,Has been mentioned in Sodala nighantu; Its identified with this species and popularly known as 'Jhilla' in Gujarat,[5]
D,2,Dindisa,डिण्डिश,ḍiṇḍiśa,डिण्डिश,Citrullus vulgaris Schrad. Var. fistulosus (Stocks,Accepted source,It is identified with this species,[4]
D,2,Draksa,द्राक्षा,drākṣā,द्राक्षा,Vitis vinefera Linn.,,,[4]
D,2,Draksa,द्राक्षा,drākṣā,द्राक्षा,Vitis vinifera Linn.,Accepted source,Identified with it,[1]
D,2,Draksa,द्राक्षा,drākṣā,द्राक्षा,Vitis vinifera Linn.,Accepted source,Identified with it,[3]
D,2,Dravanti,द्रवन्ती,dravantī,द्रवन्ती,Baliospermum sinuatum Muell-Arg.,Accepted source,This species has features which are similar to the ones described about Dravanti hence it is identified with this species,[5]
D,2,Dravanti,द्रवन्ती,dravantī,द्रवन्ती,Croton tiglium Linn.,Accepted source,Dravanti is correlated to this species,[3]
D,2,Dravanti,द्रवन्ती,dravantī,द्रवन्ती,Croton tiglium Linn.,Controversial,Not yet identifed due to the confusion regarding its description in the Nighantus,[1]
D,2,Dravanti,द्रवन्ती,dravantī,द्रवन्ती,Jatropha glandulifera,Accepted source,Dravanti is correlated to this species,[2]
D,2,Dravanti - prajati,द्रवन्ती प्रजाति,dravantī prajāti,द्रवन्ती प्रजाति,Jatropha curcas Linn.,Accepted source,Identified with this species,[5]
D,2,Dravanti - prajati,द्रवन्ती प्रजाति,dravantī prajāti,द्रवन्ती प्रजाति,Jatropha gossipifolia Linn.,Accepted source,Identified with this species,[5]
D,2,Dronapuspi,द्रोणपुष्पी,droṇapuṣpī,द्रोणपुष्पी,Araceae,Suggested source,May be considered as this species as it has all characters resembling to the plant,[1]
D,2,Dronapuspi,द्रोणपुष्पी,droṇapuṣpī,द्रोणपुष्पी,Leucas cephalotes Spreng.,Accepted source,Identified with this species,[3]
D,2,Dronapuspi,द्रोणपुष्पी,droṇapuṣpī,द्रोणपुष्पी,Leucas sp.,Accepted source,Identified with this species,[1]
D,2,Dronapuspi,द्रोणपुष्पी,droṇapuṣpī,द्रोणपुष्पी,Leucas sp.,Accepted source,Dronapuspi has been mentioned in Raja nighantu and identified with this species,[5]
D,2,Dronapuspi,द्रोणपुष्पी,droṇapuṣpī,द्रोणपुष्पी,Leucas sp.,Most probable,Dronapuspi is most probably correlated to this species,[1]
D,2,Duduraka,डुडुरक,ḍuḍuraka,डुडुरक,Capparis zeylanica Linn.,Most probable,May be considered as the fruit of Capparis,[1]
D,2,Dugdhapheni,दुग्धफेनी,dugdhaphenī,दुग्धफेनी,Taraxacum officinale Weber ex Wiggers.,Accepted source,Identified with it,[3]
D,2,Dugdhapheni,दुग्धफेनी,dugdhaphenī,दुग्धफेनी,Taraxacum officinale Weber.,Accepted source,Identified with it,[1]
D,3,Dugdhika,दुग्धिका,dugdhikā,दुग्धिका,Daemia extensa,Suggested source,Dugdhika means a plant which has milk or latex so it is suggested to take such plants with this feature and those which are known by the word Dudhi or Dudhili; This species is suggested as it supports the above statements,[2]
D,3,Dugdhika,दुग्धिका,dugdhikā,दुग्धिका,Euphorbia hirta Linn.,Most probable,It may be identified with this species. This name appears to be used for a wide variety of plants that are lactiferous as the name Dugdhika indicates,[1]
D,3,Dugdhika,दुग्धिका,dugdhikā,दुग्धिका,Euphorbia hypericifolia Linn.,Substituted source,Dugdhika means a plant which has milk or latex so it is suggested to take such plants with this feature and those which are known by the word Dudhi or Dudheli; This species is suggested as it supports the above statements,[2]
D,3,Dugdhika,दुग्धिका,dugdhikā,दुग्धिका,Euphorbia litra Linn.,Accepted source,Dugdhika is correlated to this species,[2]
D,3,Dugdhika,दुग्धिका,dugdhikā,दुग्धिका,Euphorbia microphylla Heyne.,Most probable,It may be identified with this species. This name appears to be used for a wide variety of plants that are lactiferous as the name Dugdhika indicates,[1]
D,3,Dugdhika,दुग्धिका,dugdhikā,दुग्धिका,Euphorbia Onicrophylla,Substituted source,Dugdhika means a plant which has milk or latex so it is suggested to take such plants with this feature and those which are known by the word Dudhi or Dudheli; This species is suggested as it supports the above statements,[2]
D,3,Dugdhika,दुग्धिका,dugdhikā,दुग्धिका,Euphorbia thymifolia,Substituted source,Dugdhika means a plant which has milk or latex so it is suggested to take such plants with this feature and those which are known by the word Dudhi or Dudheli; This species is suggested as it supports the above statements,[2]
D,3,Dugdhika,दुग्धिका,dugdhikā,दुग्धिका,Euphorbia thymifolia Linn.,Accepted source,Identified with this species,[3]
D,3,Dugdhika,दुग्धिका,dugdhikā,दुग्धिका,Euphorbia thymifolia Linn.,Accepted source,Identified with this species,[5]
D,3,Dulupuspa,डुलुपुष्प,ḍulupuṣpa,डुलुपुष्प,Biophytum sensitivum DC.,Accepted source,Has been mentioned in Sodala; Widely known as 'Lajauni' in Uttar Pradesh; According to Kato Bhatt it is 'Jharer' which is correlated to this species,[5]
D,3,Durva,दूर्वा,dūrvā,दूर्वा,Cynodon dactylon (Linn.) Pers.,Accepted source,Identified with it,[1]
D,3,Durva,दूर्वा,dūrvā,दूर्वा,Cynodon dactylon Pers.,Accepted source,Identified with it,[3]
D,3,Durva,दूर्वा,dūrvā,दूर्वा प्रकार,Cynodon dactylon Pers. Var. suberectum,Accepted source,Identified with it,[3]
D,3,Durva - prakara,दूर्वा प्रकार,dūrvā prakāra,दूर्वा,Cynodon dactylon (Linn.) Pers.,Accepted source,Identified with it,[1]
D,3,Durva - prakara,दूर्वा प्रकार,dūrvā prakāra,दूर्वा,Cynodon dactylon Pers.,Accepted source,Identified with it,[3]
D,3,Durva - prakara,दूर्वा प्रकार,dūrvā prakāra,दूर्वा प्रकार,Cynodon dactylon Pers. Var. suberectum,Accepted source,Identified with it,[3]
D,3,Dvipantaravaca,द्वीपान्तरवचा,dvīpāntaravacā,द्वीपान्तरवचा,Smilax china Linn.,Accepted source,It is a type of 'Vaca' which is identified with this species,[5]
E,1,Ekavira,एकवीर,ekavīra,एकवीर,Bridelia retusa Spreng.,Accepted source,Has been mentioned in Raja nighantu; Identified with it,[5]
E,1,Ekavira,एकवीर,ekavīra,एकवीर,Rheum nobile Hook. f. & Thomas.,Suggested source,It has been cited in Raja nighantu; This species is known as 'Ekla bir' which is suggested as Ekavira,[5]
E,1,Ela,एला,elā,एला,Elettaria cardamomum Maton,Accepted source,Identified with it,[1]
E,1,Ela,एला,elā,एला,Elettaria cardamomum Maton.,Accepted source,Identified with it,[3]
E,1,Ela,एला,elā,एला सूक्ष्म,Elletaria cardamomum,Accepted source,Suksma ela is correlated to this species,[2]
E,1,Ela,एला,elā,एला,Peucedanum Grande C. B. C.,Controversial,This species is considered as the bigger variety of Ela in Kerala,[2]
E,1,Ela - bheda,एला भेद,elā bheda,एला भेद,Elettaria cardamomum Maton. Var. major Thw.,Accepted source,This species is the bigger variety of ELA found n Srilanka,[3]
E,1,Ela - bheda,एला भेद,elā bheda,एला भेद,Elettaria cardamomum Maton. Var. minor Watt.,Accepted source,This species is the smaller variety of Ela,[3]
E,1,Ela - brhat,एला बृहत्,elā bṛhat,एला बृहत्,Amomum aromaticum Roxb.,Suggested source 2,Identified with it,[1]
E,1,Ela - brhat,एला बृहत्,elā bṛhat,एला स्थूल,Amomum Aromaticum Roxb.,Accepted source,This is the big variety of ela which is identified with this species,[2]
E,1,Ela - brhat,एला बृहत्,elā bṛhat,एला बृहत्,Amomum subulatum Roxb.,Suggested source 1,Identified with it,[1]
E,1,Ela - brhat,एला बृहत्,elā bṛhat,एला स्थूल प्रकार,Amomum Subulatum Roxb.,Accepted source,Is another  variety of sthula ela (big) which is identified with this species,[2]
E,1,Ela - sthula,एला स्थूल,elā sthūla,एला बृहत्,Amomum aromaticum Roxb.,Suggested source 2,Identified with it,[1]
E,1,Ela - sthula,एला स्थूल,elā sthūla,एला स्थूल,Amomum Aromaticum Roxb.,Accepted source,This is the big variety of ela which is identified with this species,[2]
E,1,Ela - sthula,एला स्थूल,elā sthūla,एला बृहत्,Amomum subulatum Roxb.,Suggested source 1,Identified with it,[1]
E,1,Ela - sthula,एला स्थूल,elā sthūla,एला स्थूल प्रकार,Amomum Subulatum Roxb.,Accepted source,Is another  variety of sthula ela (big) which is identified with this species,[2]
E,1,Ela - sthula prakara,एला स्थूल प्रकार,elā sthūla prakāra,एला बृहत्,Amomum aromaticum Roxb.,Suggested source 2,Identified with it,[1]
E,1,Ela - sthula prakara,एला स्थूल प्रकार,elā sthūla prakāra,एला स्थूल,Amomum Aromaticum Roxb.,Accepted source,This is the big variety of ela which is identified with this species,[2]
E,1,Ela - sthula prakara,एला स्थूल प्रकार,elā sthūla prakāra,एला बृहत्,Amomum subulatum Roxb.,Suggested source 1,Identified with it,[1]
E,1,Ela - sthula prakara,एला स्थूल प्रकार,elā sthūla prakāra,एला स्थूल प्रकार,Amomum Subulatum Roxb.,Accepted source,Is another  variety of sthula ela (big) which is identified with this species,[2]
E,1,Ela - suksma,एला सूक्ष्म,elā sūkṣma,एला,Elettaria cardamomum Maton,Accepted source,Identified with it,[1]
E,1,Ela - suksma,एला सूक्ष्म,elā sūkṣma,एला,Elettaria cardamomum Maton.,Accepted source,Identified with it,[3]
E,1,Ela - suksma,एला सूक्ष्म,elā sūkṣma,एला सूक्ष्म,Elletaria cardamomum,Accepted source,Suksma ela is correlated to this species,[2]
E,1,Ela - suksma,एला सूक्ष्म,elā sūkṣma,एला,Peucedanum Grande C. B. C.,Controversial,This species is considered as the bigger variety of Ela in Kerala,[2]
E,1,Elaparni,एलापर्णी,elāparṇī,एलापर्णी,Alpinia galanga Willd.,Most probable,May be identified with this species which is a synonym of Rasna and used as Rasna in the south,[1]
E,1,Elavaluka,एलवालुक,elavāluka,एलवालुक,Prunus cerasus Linn.,Accepted source,Has been identified with this sp.,[1]
E,1,Eraka,एरका,erakā,एरका,Typha laxmannii Lepech.,Accepted source,Its identified with this species,[5]
E,1,Eranda,एरण्ड,eraṇḍa,एरण्ड,Ricinus communis Linn.,Accepted source,Identified with it,[1]
E,1,Eranda,एरण्ड,eraṇḍa,एरण्ड,Ricinus communis Linn.,Accepted source,Eranda is correlated to this species,[2]
E,1,Eranda,एरण्ड,eraṇḍa,एरण्ड,Ricinus communis Linn.,Accepted source,Identified with it,[3]
E,1,Erandakarkati,एरण्डकर्कटी,eraṇḍakarkaṭī,एरण्डकर्कटी,Carica papaya Linn.,Accepted source,Erandakarkati is correlated to this species,[3]
E,1,Erandakarkati,एरण्डकर्कटी,eraṇḍakarkaṭī,एरण्डकर्कटी,Carica papaya Linn.,Accepted source,Erandakarkati is correlated to this species,[4]
E,1,Eravat,ऐरावत,airāvata,ऐरावत,Elaeocarpus serratus Linn.,Accepted source,Is a type of Rudraksa and identified with this species,[5]
E,1,Ervaru,एर्वारु,ervāru,एर्वारु,Cucumis utilissimus Roxb.,Accepted source,Identified with it,[1]
E,1,Ervaruka,एर्वारुक,ervāruka,एर्वारुक,Cucumis utilissimus Linn.,Accepted source,Identified with it,[4]
G,1,Gajacirbhata,गजचिर्भट,gajacirbhaṭa,गजचिर्भट,Cucumis melo var. momordica Duthie and Fuller.,Most probable,May be identified with this species,[1]
G,1,Gajacirbhata,गजचिर्भट,gajacirbhaṭa,गजचिर्भट,Cucumis melo var. utilissimus Duthie and Fuller.,Most probable,May be identified with this species,[1]
G,1,Gajapippali,गजपिप्पली,gajapippalī,गजपिप्पली,Piper chaba Hunter.,Accepted source,Gajapippali is identified with this species,[3]
G,1,Gajapippali,गजपिप्पली,gajapippalī,गजपिप्पली,Piper chaba Hunter.,Most probable,Has been considered as a probable source plant as its properties are similar to Gajapippali. With regard to its rare occurance it creates a doubt,[1]
G,1,Gajapippali,गजपिप्पली,gajapippalī,गजपिप्पली,Scindapsus officinalis Schott.,Most probable,Has been considered as a probable source plant. This species has been used since long for this plant,[1]
G,1,Gajapippali,गजपिप्पली,gajapippalī,गजपिप्पली,Scindapsus sp.,Suggested source,Some consider this species to be 'Gajapippali' as it resembles the plant 'Pippali' but 'Gajapippali' is nowhere included among the variety of 'Pippali' and hence cannot be correlated to this species,[5]
G,1,Gambhari,गम्भारी,gambhārī,गम्भारी,Gmelina arborea Linn.,Accepted source,Gambhari is correlated to this species,[2]
G,1,Gambhari,गम्भारी,gambhārī,गम्भारी,Gmelina arborea Linn.,Accepted source,Gambhari is correlated to this species,[3]
G,1,Gambhari,गम्भारी,gambhārī,गम्भारी,Gmelina arborea Linn.,Accepted source,Gambhari is correlated to this species,[4]
G,1,Gambhari,गम्भारी,gambhārī,गम्भारी,Trewia mudiflora,Suggested source,Gambhari has a synonym Shriparni; there is no controversy regarding Gambhari but there is another species (Trewia nudiflora) used as Shriparni in Haridwar,[2]
G,1,Gandadurva,गण्ड दूर्वा,gaṇḍa dūrvā,गण्ड दूर्वा,Alternanthera sessilis,Accepted source,Gandadurva is identified with this species,[2]
G,1,Gandadurva,गण्ड दूर्वा,gaṇḍa dūrvā,गण्ड दूर्वा,Picrorhiza kurroa,Controversial,Gandadurva is not found in the Brhatrayi but was mentioned later on; There were various synonyms given to it and one among them was Sakuladani which is Katurohini and correlated to this species,[2]
G,1,Gandhakokila,गन्ध कोकिला,gandha kokilā,गन्ध कोकिला,Luvunga scandens.,Accepted source,Gandhakokila has been mentioned in Bhavaprakasa among the gandha dravyas (fragrant drugs); The dry fruits of 'Lavangalata' are called 'Kaakli' or 'Kokila' in Bengal; These were used to give fragrance to oils; This same drug was interpreted as 'Gandhakokila' by Bhavamisra; Its identified with this species,[5]
G,1,Gandhala,गन्धल,gandhala,शालि,Oryza sativa Linn.,Accepted source,Identified with it,[1]
G,1,Gandhala,गन्धल,gandhala,षष्टिक,Oryza sativa Linn.,Accepted source,Identified with it,[1]
G,1,Gandhala,गन्धल,gandhala,व्रीही,Oryza sativa Linn.,Accepted source,Identified with it,[1]
G,1,Gandhala,गन्धल,gandhala,कलम,Oryza sativa Linn. var.,Accepted source,"identified with it, VARIETY ?",[1]
G,1,Gandhala,गन्धल,gandhala,केदार,Rice var.,Suggested source,Is a variety of rice,[1]
G,1,Gandhala,गन्धल,gandhala,कूष्माण्डक,Rice var.,Suggested source,Is a variety of rice,[1]
G,1,Gandhala,गन्धल,gandhala,गन्धल,Rice variety,Suggested source,Is an inferior variety of rice,[1]
G,1,Gandhamalati,गन्धमालती,gandhamālatī,गन्धमालती,Myrtus communis Linn.,Accepted source,Gandhamalati' has been cited in Bhavaprakasa nighantu; Its identified with this species,[5]
G,1,Gandhanakuli,गन्धनाकुली,gandhanākulī,गन्धनाकुली,Aristolochia indica,Accepted source,It is identified with this species,[1]
G,1,Gandhanakuli,गन्धनाकुली,gandhanākulī,गन्धनाकुली,Aristolochia indica Linn.,Accepted source,Gandhanakuli' is identified with this species,[5]
G,1,Gandhanakuli,गन्धनाकुली,gandhanākulī,गन्धनाकुली,Aristolochia indica Linn.,Suggested source,Aristolochia is suggested to be used as this plant,[1]
G,1,Gandhanakuli,गन्धनाकुली,gandhanākulī,गन्धनाकुली,Aristolochia sp.,Most probable,May be identified with this species,[1]
G,1,Gandhanakuli,गन्धनाकुली,gandhanākulī,गन्धनाकुली,Corallocarpus sp.,Most probable,May be identified with this species,[1]
G,1,Gandhanakuli,गन्धनाकुली,gandhanākulī,गन्धनाकुली,Crinum defixum Kar.-Gawl.,Most probable,May be identified with this species,[1]
G,1,Gandhaprasarini,गन्धप्रसारणी,gandhaprasāraṇī,गन्धप्रसारणी,Paederia foetida Linn.,Accepted source,It is identified with this species,[3]
G,1,Gandhaprasarini,गन्धप्रसारणी,gandhaprasāraṇī,गन्धप्रसारणी,Paederia foetida Linn.,Accepted source,Its identified with this species,[5]
G,1,Gandhapriyangu,गन्धप्रियङ्गु,gandhapriyaṅgu,गन्धप्रियङ्गु,Porana paniculata Roxb.,Accepted source,This species is taken into consideration with regard to its features resembling the plant.,[5]
G,1,Gandhapriyangu,गन्धप्रियङ्गु,gandhapriyaṅgu,गन्धप्रियङ्गु,Prunus mahaleb Linn.,Accepted source,Gandhapriyangu is correlated to this species,[3]
G,1,Gandira,गण्डीर,gaṇḍīra,गण्डीर,Albizzia julibrissin Durazz.,Controversial,Based on the description by Dalhana it is correlated to this species,[1]
G,1,Gandira,गण्डीर,gaṇḍīra,गण्डीर,Coleus barbatus,Accepted source,Gandira is identified with this species,[2]
G,1,Gandira,गण्डीर,gaṇḍīra,गण्डीर,Dalbergia sericea G. Don.,Controversial,Based on the description by Dalhana it is correlated to this species,[1]
G,1,Gandira,गण्डीर,gaṇḍīra,गण्डीर,Euphorbia species,Suggested source,One of the author has identifed Gandira with Snuhi which is correlated to this species,[2]
G,1,Gandira - jalaja,गण्डीर जलज,gaṇḍīra jalaja,गण्डीर जलज,Amaranthus mangostanus,Accepted source,Gandira jalaja is identified with this species,[5]
G,1,Gandira - jalaja,गण्डीर जलज,gaṇḍīra jalaja,गण्डीर जलज,Amaranthus viridis Linn.,Accepted source,Jalaja Gandira is identified with this species,[2]
G,1,Gandira - jalaja,गण्डीर जलज,gaṇḍīra jalaja,गण्डीर जलज,Ranunculus sceleratus Linn.,Accepted source,It is identified with this species,[5]
G,1,Gandira - sthalaja,गण्डीर स्थलज,gaṇḍīra sthalaja,गण्डीर स्थलज,Coleus barbatus,Accepted source,Gandira is identified with this species,[2]
G,1,Gandira - sthalaja,गण्डीर स्थलज,gaṇḍīra sthalaja,गण्डीर स्थलज,Coleus barbatus,Accepted source,Gandira is identified with this species,[5]
G,1,Gangapatri,गंगापत्री,gaṃgāpatrī,गंगापत्री,Hyptis sp.,Accepted source,Gangapatri' has been described in Raja nighantu; With regard to its synonyms it can be specified to be a plant with fragrant leaves; Its identified with this species which is popularly known as 'Gangatulasi',[5]
G,1,Gangati,गङ्गाटी,gaṅgāṭī,गङ्गाटी,Sida spinosa Linn.,Most probable,Gangati' has been cited in Sodala nighantu; It is popularly known as 'Gangeti' and most probably identified with this species,[5]
G,1,Gangeruki,गाङ्गेरुकी,gāṅgerukī,गाङ्गेरुकी,Grewia tenax (Forsk.) Aschers. & Schwf.,Accepted source,Gangeruki is correlated to this species,[3]
G,1,Gangeruki,गाङ्गेरुकी,gāṅgerukī,गाङ्गेरुकी,Grewia tenax (Forsk.)Aschers & Schwf.,Accepted source,Gangeruki has been mentioned under the 'Phala varga' (group of fruits) in both Susruta and Caraka samhita; Dalhana and Cakrapani in their commentaries have identified it with 'Nagabala'; Even in the nighantus it has been mentioned as the synonym of Nagabala; Its identified with this species,[5]
G,1,Ganikari,गणिकारी,gaṇikārī,गणिकारी,Pterospermum canescens,Most probable,Ganikari' has been cited in Raja nighantu and Dhanvantari nighantu; With regard to its synonyms it can be interpreted to be a fragrant flower and most probably identified with this species,[5]
G,1,Garjara,गर्जर,garjara,गर्जर,Daucas carota Var. sativa Linn.,Accepted source,It is identified with this species,[4]
G,1,Garmotika,गरमोटिका,garamoṭikā,गरमोटिका,Coix gigantea Koenig ex Roxb.,Accepted source,Identified with this species,[5]
G,1,Gavedhuka,गवेधुक,gavedhuka,गवेधुक,Coix lachryma-jobi Linn.,Accepted source,Identified with it,[1]
G,1,Gavedhuka,गवेधुक,gavedhuka,गवेधुक,Coix lacryma-jobi Linn.,Accepted source,Identified with this species,[4]
G,2,Ghantavali,घण्टावली,ghaṇṭāvalī,घण्टावली,Crotalaria sp.,Suggested source,Mentioned in Sodala nighantu; Vaidya Bapalal has considered this as 'Ghantarava' which is correlated to this species,[5]
G,2,Gholi,घोली,gholī,घोली,Portulaca sp.,Accepted source,Gholi is a variety of 'Lonika' and identified with this species,[5]
G,2,Ghonta,घोण्टा,ghoṇṭā,घोण्टा,Zizyphus xylopyra Willd.,Accepted source,Identified with it,[1]
G,2,Gilodya,गिलोड्य,giloḍya,गिलोड्य,Ceropegia hirsuta W. and A.,Suggested source 2,Identified with it,[1]
G,2,Gilodya,गिलोड्य,giloḍya,गिलोड्य,Ceropegia tuberosa Roxb.,Suggested source 1,Identified with it,[1]
G,2,Gippita,गिप्पिट,gippiṭa,गिप्पिट,Triumfetta rotundifolia Lam.,Accepted source,Gippita' has been mentioned in Sodala nighantu; According to Vaidya Bapalal it is interpreted as 'Jhinjhirita' which is identified with this species,[5]
G,2,Girikadamba,गिरिकदम्ब,girikadamba,गिरिकदम्ब,Mytragyna parviflora Korth.,Accepted source,Identified with it,[1]
G,2,Girikadamba,गिरिकदम्ब,girikadamba,गिरिकदम्ब,Mytragyna parviflora Korth.,Accepted source,Identified with it,[1]
G,2,Girikarni,गिरिकर्णी,girikarṇī,गिरिकर्णी,Clitoria ternatea Linn.,Accepted source,Identified with it,[1]
G,2,Girikarni,गिरिकर्णी,girikarṇī,गिरिकर्णी,Symphorema polyandrum Wight.,Controversial,May be identified with this species with regard to the popular name given by Dalhana which has features equivalent to it,[1]
G,2,Girikarnika,गिरिकर्णिका,girikarṇikā,गिरिकर्णिका,Clitoria ternatea Linn.,Accepted source,Identified with this species,[5]
G,2,Girikarnika,गिरिकर्णिका,girikarṇikā,गिरिकर्णिका,Symphorema polyandrum Wight.,Most probable,May be accepted as this species with regard to its medicinal value and features,[1]
G,2,Girimati,गिरिमती,girimatī,गिरिमती,Coleus barbata.,Most probable,Girimati is mentioned in Sodala nighantu; With regard to its synonyms it is considered as a type of Varahikanda; According to Vaidya Bapalal it is 'Garmar' (Gujarat) which is correlated to this species,[5]
G,2,Girimati,गिरिमती,girimatī,गिरिमती,Dioscorea sp.,Accepted source,With regard to its synonyms it is identified with this species,[5]
G,2,Gocandana,गोचन्दन,gocandana,गोचन्दन,Tylophora fasciculata Ham. ex Wight.,Accepted source,"Gocandana' has been mentioned just once in Susruta samhita in the chapter of Rasayana (rejuvenatives); Dalhana has interpreted it as 'Priyangu'; In Paryayaratnamala its mentioned as the synonym of 'Sahadeva'; Originally in the nighantus, 'Candana' was the synonym of 'Utpalasariva', based on this they interpreted 'Gocandana' as 'Sariva' of animals; It is identified with this species; Further studies needs to be done",[5]
G,2,Gocandana,गोचन्दन,gocandana,गोचन्दन,Tylophora fasciculata Ham. ex Wight.,Suggested source,Correlated to this plant  on the basis of collected field data,[1]
G,2,Godhuma,गोधूम,godhūma,गोधूम,Triticum aestivum Linn.,Accepted source,Identified with it,[1]
G,2,Godhuma,गोधूम,godhūma,गोधूम,Triticum aestivum Linn.,Accepted source,Identified with it,[4]
G,2,Goja,गोजा,gojā,गोजी,Caccinia glauca Savi.Y.) Kuntze.,Accepted source,Gavajavan (Unani system of medicine) which is considered as a synonym is identified as this sp.,[1]
G,2,Goja,गोजा,gojā,गोजा,Launaea asplenifolia Hook.f.,Most probable,May be identified with this sp.,[1]
G,2,Goja,गोजा,gojā,गोजी,Onosma bracteata Wall.,Accepted source,Gavajavan (Unani system of medicine) which is considered as a synonym is identified as this sp.,[1]
G,2,Goja,गोजा,gojā,गोजी,Trichodesma indicum R. Br.,Substituted source,Used as  a substitute with regard to its features,[1]
G,2,Goji,गोजी,gojī,गोजी,Caccinia glauca Savi.Y.) Kuntze.,Accepted source,Gavajavan (Unani system of medicine) which is considered as a synonym is identified as this sp.,[1]
G,2,Goji,गोजी,gojī,गोजा,Launaea asplenifolia Hook.f.,Most probable,May be identified with this sp.,[1]
G,2,Goji,गोजी,gojī,गोजी,Onosma bracteata Wall.,Accepted source,Gavajavan (Unani system of medicine) which is considered as a synonym is identified as this sp.,[1]
G,2,Goji,गोजी,gojī,गोजी,Trichodesma indicum R. Br.,Substituted source,Used as  a substitute with regard to its features,[1]
G,2,Gojihva,गोजिह्वा,gojihvā,गोजिह्वा,Anchusa strigosa Lebill.,Controversial,There are many species sold as Gojihva in the market.  This is one of the species,[3]
G,2,Gojihva,गोजिह्वा,gojihvā,गोजिह्वा,Anchusa strigosa Lebill.,Suggested source,Gojihva is correlated to another species but this is also used as Gojihva,[5]
G,2,Gojihva,गोजिह्वा,gojihvā,गोजिह्वा,Coccinia glauca Savi,Controversial,There are many species sold as Gojihva in the market.  This is one of the species,[3]
G,2,Gojihva,गोजिह्वा,gojihvā,गोजिह्वा,Coccinia glauca Savi.,Controversial,Eventhough it is correlated to some other species this species is used as Gojihva,[5]
G,2,Gojihva,गोजिह्वा,gojihvā,गोजिह्वा,Elephantopus scaber,Controversial,In Gujarat there is a plant known as Galajibhi or Gojobhi which exactly corresponds with Gojihva; This is correlated to Elephantopus scaber; With regard to Gojihva having hirsute rough leaves this species has smooth leaves so cannot be totally considered,[2]
G,2,Gojihva,गोजिह्वा,gojihvā,गोजिह्वा,Launaea sp.,Accepted source,Gojihva mentioned in the samhitas is correlated to the given species which is known as 'Bangobhi'; Based on this Bhavamisra has given the synonym 'Gobhi' to it,[5]
G,2,Gojihva,गोजिह्वा,gojihvā,गोजिह्वा,Macrotomia benthamii DC.,Controversial,Eventhough it is correlated to some other species this species is used as Gojihva,[3]
G,2,Gojihva,गोजिह्वा,gojihvā,गोजिह्वा,Macrotomia benthamii DC.,Controversial,Eventhough it is correlated to some other species this species is used as Gojihva,[5]
G,2,Gojihva,गोजिह्वा,gojihvā,गोजिह्वा,Onosma bracteatum,Accepted source,Gojihva is correlated to this species,[2]
G,2,Gojihva,गोजिह्वा,gojihvā,गोजिह्वा,Onosma bracteatum Wall.,Accepted source,Gojihva is correlated to this species,[3]
G,2,Gojihva,गोजिह्वा,gojihvā,गोजिह्वा,Onosma bracteatum Wall.,Most probable,Most probably it is identified with this species,[5]
G,2,Goksura,गोक्षुर,gokṣura,गोक्षुर,Acanthospermum hispidum DC.,Most probable,As this species has features similar to this plant it may have been used as Goksura,[1]
G,2,Goksura,गोक्षुर,gokṣura,गोक्षुरु,Martynia diandra,Suggested source,Goksuru literally means the hoof of a cow; So some suggested this species as Goksura as its fruit is cleft like a cows hook and has 3 hooks; So in real sense this is the real Goksura but cannot be taken into consideration as this is an exotic plant,[2]
G,2,Goksura,गोक्षुर,gokṣura,गोक्षुर,Pedalium murex Linn.,Most probable,This species is used as this plant has features similar to it,[1]
