letter,page,drug_name,sanskrit_name,transliteration,ref_drug_name,botanical_correlation,status,discussion,reference
S,6,Snuhi - jati,स्नुही जाति,snuhī jāti,स्नुही,Euphorbia trigona Haw.,Most probable,Most probably identified with this species,[1]
S,6,Sobhanjana,शोभाञ्जन,śobhāñjana,शिग्रु,Moringa concanensis Nimmo,Suggested source 2,Identified with it,[1]
S,6,Sobhanjana,शोभाञ्जन,śobhāñjana,शिग्रु,Moringa oleifera Lam.,Accepted source,Its identified with this species,[5]
S,6,Sobhanjana,शोभाञ्जन,śobhāñjana,शोभाञ्जन,Moringa oleifera Lam.,,,[3]
S,6,Sobhanjana,शोभाञ्जन,śobhāñjana,शिग्रु,Moringa pterygosperma Gaertn.,Suggested source 1,Identified with it,[1]
S,6,Soma,सोम,soma,सोम,Amanita muscaria Linn.,?,,[1]
S,6,Soma,सोम,soma,सोम,Amanita muscaria.,Controversial,"Exploring ancient texts we can come to the conclusion that: during the period of Caraka, 'Soma' was not notable. During Susruta period it was very popular and many drugs were known as 'Soma'.During the period of Vagbhata it bacame inconspicous; Considering these facts it becomes difficult to ascertain which is the real 'Soma' of ancient times; Presently scholars have correlated many species to 'Soma' and this species is one among them",[5]
S,6,Soma,सोम,soma,सोम,Betula sp.,?,,[1]
S,6,Soma,सोम,soma,सोम,Cannabis sativa.,Controversial,"Exploring ancient texts we can come to the conclusion that: during the period of Caraka, Soma was not notable. During Susruta period it was very popular and many drugs were known as Soma.During the period of Vagbhata it bacame inconspicous; Considering these facts it becomes difficult to ascertain which is the real Soma of ancient times; Presently scholars have correlated many species to Soma and this species is one among them",[5]
S,6,Soma,सोम,soma,सोम,Ceropegia sp.,Controversial,"Exploring ancient texts we can come to the conclusion that: during the period of Caraka, Soma was not notable. During Susruta period it was very popular and many drugs were known as Soma.During the period of Vagbhata it bacame inconspicous; Considering these facts it becomes difficult to ascertain which is the real Soma of ancient times; Presently scholars have correlated many species to Soma and this species is one among them",[5]
S,6,Soma,सोम,soma,सोम,Ceropegia sp.,Suggested source,This species was proposed to be used as Soma,[1]
S,6,Soma,सोम,soma,सोम,Ephedra,Suggested source,This species was proposed to be used as Soma,[1]
S,6,Soma,सोम,soma,सोम,Ephedra gerardiana (Wall.) Stapf.,Substituted source,This species is used as its substitute,[5]
S,6,Soma,सोम,soma,सोम,Ephedra gerardiana Wall.,,,[3]
S,6,Soma,सोम,soma,सोम,Ephepra sp.,Controversial,Currently scholars have suggested many species as Soma as its difficult to signify which is the real Soma of the past hence this species is suggested one among them,[5]
S,6,Soma,सोम,soma,सोम,Peganum hermala,Controversial,"Exploring ancient texts we can come to the conclusion that: during the period of Caraka, Soma was not notable. During Susruta period it was very popular and many drugs were known as Soma.During the period of Vagbhata it bacame inconspicous; Considering these facts it becomes difficult to ascertain which is the real Soma of ancient times; Presently scholars have correlated many species to Soma and this species is one among them",[5]
S,6,Soma,सोम,soma,सोम,Periploca aphylla.,Controversial,"Exploring ancient texts we can come to the conclusion that: during the period of Caraka, Soma was not notable. During Susruta period it was very popular and many drugs were known as Soma.During the period of Vagbhata it bacame inconspicous; Considering these facts it becomes difficult to ascertain which is the real Soma of ancient times; Presently scholars have correlated many species to Soma and this species is one among them",[5]
S,6,Soma,सोम,soma,सोम,Rheum emodi.,Controversial,"Exploring ancient texts we can come to the conclusion that: during the period of Caraka, 'Soma' was not notable. During Susruta period it was very popular and many drugs were known as 'Soma'.During the period of Vagbhata it became inconspicous; Considering these facts it becomes difficult to ascertain which is the real 'Soma' of ancient times; Presently scholars have correlated many species to 'Soma' and this species is one among them",[5]
S,6,Soma,सोम,soma,सोम,Ruta graveolens.,Controversial,"Exploring ancient texts we can come to the conclusion that: during the period of Caraka, 'Soma' was not notable. During Susruta period it was very popular and many drugs were known as 'Soma'.During the period of Vagbhata it bacame inconspicous; Considering these facts it becomes difficult to ascertain which is the real Soma of ancient times; Presently scholars have correlated many species to Soma and this species is one among them",[5]
S,6,Soma,सोम,soma,सोम,Saccharum officinarum.,Controversial,"Exploring ancient texts we can come to the conclusion that: during the period of Caraka, 'Soma' was not notable. During Susruta period it was very popular and many drugs were known as 'Soma'.During the period of Vagbhata it bacame inconspicous; Considering these facts it becomes difficult to ascertain which is the real Soma of ancient times; Presently scholars have correlated many species to Soma and this species is one among them",[5]
S,6,Soma,सोम,soma,सोम,Sarcostemma acidum Voigt.,Controversial,"Exploring ancient texts we can come to the conclusion that: during the period of Caraka, 'Soma' was not notable. During Susruta period it was very popular and many drugs were known as 'Soma'.During the period of Vagbhata it bacame inconspicous; Considering these facts it becomes difficult to ascertain which is the real 'Soma' of ancient times; Presently scholars have correlated many species to 'Soma' and this species is one among them",[5]
S,6,Soma,सोम,soma,सोम,Sarcostemma acidum.,Controversial,"Exploring ancient texts we can come to the conclusion that: during the period of Caraka, 'Soma' was not notable. During Susruta period it was very popular and many drugs were known as 'Soma'.During the period of Vagbhata it bacame inconspicous; Considering these facts it becomes difficult to ascertain which is the real 'Soma' of ancient times; Presently scholars have correlated many species to 'Soma' and this species is one among them",[5]
S,6,Soma,सोम,soma,सोमवल्ली,Sarcostemma Brevistigma W. & A.,Accepted source,It is identified with this species,[5]
S,6,Soma,सोम,soma,सोम,Sarcostemma sp.,Suggested source,This species was proposed to be used as Soma,[1]
S,6,Soma,सोम,soma,सोम,Vernonia anthelmintica Willd.,?,,[1]
S,6,Soma,सोम,soma,सोम,Vitis vinifera.,Controversial,"Exploring ancient texts we can come to the conclusion that: during the period of Caraka, 'Soma' was not notable. During Susruta period it was very popular and many drugs were known as 'Soma'.During the period of Vagbhata it became inconspicous; Considering these facts it becomes difficult to ascertain which is the real 'Soma' of ancient times; Presently scholars have correlated many species to 'Soma' and this species is one among them",[5]
S,6,Somalata,सोमलता,somalatā,सोमलता,Sarcostemma acidum.,Accepted source,It is identified with this species,[5]
S,6,Somaraji,सोमराजी,somarājī,सोमराजी,Amanita muscaria Linn.,,,[1]
S,6,Somaraji,सोमराजी,somarājī,सोमराजी,Centratherum anthelminticum Kuntze.,Accepted source,Sodala has mentioned Somaraji as a synonym of Bakuci as well as described it seperately; This is identified with Kalijiri which is correlated to this species and widely known as 'Soharai' or 'Rai',[5]
S,6,Somavalli,सोमवल्ली,somavallī,सोम,Amanita muscaria Linn.,?,,[1]
S,6,Somavalli,सोमवल्ली,somavallī,सोम,Amanita muscaria.,Controversial,"Exploring ancient texts we can come to the conclusion that: during the period of Caraka, 'Soma' was not notable. During Susruta period it was very popular and many drugs were known as 'Soma'.During the period of Vagbhata it bacame inconspicous; Considering these facts it becomes difficult to ascertain which is the real 'Soma' of ancient times; Presently scholars have correlated many species to 'Soma' and this species is one among them",[5]
S,6,Somavalli,सोमवल्ली,somavallī,सोम,Betula sp.,?,,[1]
S,6,Somavalli,सोमवल्ली,somavallī,सोम,Cannabis sativa.,Controversial,"Exploring ancient texts we can come to the conclusion that: during the period of Caraka, Soma was not notable. During Susruta period it was very popular and many drugs were known as Soma.During the period of Vagbhata it bacame inconspicous; Considering these facts it becomes difficult to ascertain which is the real Soma of ancient times; Presently scholars have correlated many species to Soma and this species is one among them",[5]
S,6,Somavalli,सोमवल्ली,somavallī,सोम,Ceropegia sp.,Controversial,"Exploring ancient texts we can come to the conclusion that: during the period of Caraka, Soma was not notable. During Susruta period it was very popular and many drugs were known as Soma.During the period of Vagbhata it bacame inconspicous; Considering these facts it becomes difficult to ascertain which is the real Soma of ancient times; Presently scholars have correlated many species to Soma and this species is one among them",[5]
S,6,Somavalli,सोमवल्ली,somavallī,सोम,Ceropegia sp.,Suggested source,This species was proposed to be used as Soma,[1]
S,6,Somavalli,सोमवल्ली,somavallī,सोम,Ephedra,Suggested source,This species was proposed to be used as Soma,[1]
S,6,Somavalli,सोमवल्ली,somavallī,सोम,Ephedra gerardiana (Wall.) Stapf.,Substituted source,This species is used as its substitute,[5]
S,6,Somavalli,सोमवल्ली,somavallī,सोम,Ephedra gerardiana Wall.,,,[3]
S,6,Somavalli,सोमवल्ली,somavallī,सोम,Ephepra sp.,Controversial,Currently scholars have suggested many species as Soma as its difficult to signify which is the real Soma of the past hence this species is suggested one among them,[5]
S,6,Somavalli,सोमवल्ली,somavallī,सोम,Peganum hermala,Controversial,"Exploring ancient texts we can come to the conclusion that: during the period of Caraka, Soma was not notable. During Susruta period it was very popular and many drugs were known as Soma.During the period of Vagbhata it bacame inconspicous; Considering these facts it becomes difficult to ascertain which is the real Soma of ancient times; Presently scholars have correlated many species to Soma and this species is one among them",[5]
S,6,Somavalli,सोमवल्ली,somavallī,सोम,Periploca aphylla.,Controversial,"Exploring ancient texts we can come to the conclusion that: during the period of Caraka, Soma was not notable. During Susruta period it was very popular and many drugs were known as Soma.During the period of Vagbhata it bacame inconspicous; Considering these facts it becomes difficult to ascertain which is the real Soma of ancient times; Presently scholars have correlated many species to Soma and this species is one among them",[5]
S,6,Somavalli,सोमवल्ली,somavallī,सोम,Rheum emodi.,Controversial,"Exploring ancient texts we can come to the conclusion that: during the period of Caraka, 'Soma' was not notable. During Susruta period it was very popular and many drugs were known as 'Soma'.During the period of Vagbhata it became inconspicous; Considering these facts it becomes difficult to ascertain which is the real 'Soma' of ancient times; Presently scholars have correlated many species to 'Soma' and this species is one among them",[5]
S,6,Somavalli,सोमवल्ली,somavallī,सोम,Ruta graveolens.,Controversial,"Exploring ancient texts we can come to the conclusion that: during the period of Caraka, 'Soma' was not notable. During Susruta period it was very popular and many drugs were known as 'Soma'.During the period of Vagbhata it bacame inconspicous; Considering these facts it becomes difficult to ascertain which is the real Soma of ancient times; Presently scholars have correlated many species to Soma and this species is one among them",[5]
S,6,Somavalli,सोमवल्ली,somavallī,सोम,Saccharum officinarum.,Controversial,"Exploring ancient texts we can come to the conclusion that: during the period of Caraka, 'Soma' was not notable. During Susruta period it was very popular and many drugs were known as 'Soma'.During the period of Vagbhata it bacame inconspicous; Considering these facts it becomes difficult to ascertain which is the real Soma of ancient times; Presently scholars have correlated many species to Soma and this species is one among them",[5]
S,6,Somavalli,सोमवल्ली,somavallī,सोम,Sarcostemma acidum Voigt.,Controversial,"Exploring ancient texts we can come to the conclusion that: during the period of Caraka, 'Soma' was not notable. During Susruta period it was very popular and many drugs were known as 'Soma'.During the period of Vagbhata it bacame inconspicous; Considering these facts it becomes difficult to ascertain which is the real 'Soma' of ancient times; Presently scholars have correlated many species to 'Soma' and this species is one among them",[5]
S,6,Somavalli,सोमवल्ली,somavallī,सोम,Sarcostemma acidum.,Controversial,"Exploring ancient texts we can come to the conclusion that: during the period of Caraka, 'Soma' was not notable. During Susruta period it was very popular and many drugs were known as 'Soma'.During the period of Vagbhata it bacame inconspicous; Considering these facts it becomes difficult to ascertain which is the real 'Soma' of ancient times; Presently scholars have correlated many species to 'Soma' and this species is one among them",[5]
S,6,Somavalli,सोमवल्ली,somavallī,सोमवल्ली,Sarcostemma Brevistigma W. & A.,Accepted source,It is identified with this species,[5]
S,6,Somavalli,सोमवल्ली,somavallī,सोम,Sarcostemma sp.,Suggested source,This species was proposed to be used as Soma,[1]
S,6,Somavalli,सोमवल्ली,somavallī,सोम,Vernonia anthelmintica Willd.,?,,[1]
S,6,Somavalli,सोमवल्ली,somavallī,सोम,Vitis vinifera.,Controversial,"Exploring ancient texts we can come to the conclusion that: during the period of Caraka, 'Soma' was not notable. During Susruta period it was very popular and many drugs were known as 'Soma'.During the period of Vagbhata it became inconspicous; Considering these facts it becomes difficult to ascertain which is the real 'Soma' of ancient times; Presently scholars have correlated many species to 'Soma' and this species is one among them",[5]
S,6,Sphurdana,स्फूर्दन,sphūrdana,स्फूर्दन,Mentha sylvestris.,Accepted source,Identified with the species,[5]
S,6,Sphurjaka,स्फूर्जक,sphūrjaka,स्फूर्जक,Calligonum polygonoides Linn.,,,[5]
S,6,Sphurjaka,स्फूर्जक,sphūrjaka,स्फूर्जक,Calligonum polygonoides Linn.,Accepted source,Has been mentioned in Caraka and Susruta samhita; Sphurjaka is well known in Rajasthan as 'Phoga' which is identified with this species,[5]
S,6,Sprkka,स्पृक्का,spṛkkā,स्पृक्का,Anisomelus malabarica,Substituted source,This species can be used as a substitute,[2]
S,6,Sprkka,स्पृक्का,spṛkkā,स्पृक्का,Anisomelus malabarica,Suggested source,This species was taken into consideration as all plants of this family are aromatic which are similar with the features of Sprkka,[2]
S,6,Sprkka,स्पृक्का,spṛkkā,स्पृक्का,Delphinium brunonianum Royle.,Suggested source,According to description given by Dalhana this species can be considered its source,[1]
S,6,Sprkka,स्पृक्का,spṛkkā,स्पृक्का,Delphinium zalil Aitch & Hensl.,Accepted source,Identified with this species; Sprkka has been mentioned among the Gandhadravyas (fragrant drugs),[5]
S,6,Sprkka,स्पृक्का,spṛkkā,स्पृक्का,Delphinium zalil Aitch. and Hemsl.,Suggested source,According to description given by Dalhana this species can be considered its source,[1]
S,6,Sprkka,स्पृक्का,spṛkkā,स्पृक्का,Melitotus officinalis Linn.,Accepted source,Sprkka is correlated to this species,[2]
S,6,Sravana,श्रवण,śravaṇa,श्रवण,Blumea sp.,Controversial,Needs to be examined,[1]
S,6,Sravana,श्रवण,śravaṇa,श्रवण,Polygonum sp.,Controversial,Needs to be examined,[1]
S,6,Sravana,श्रवण,śravaṇa,श्रवण,Sphaeranthus indicus Linn.,Accepted source,Identified with it,[1]
S,7,Srivestaka,श्रीवेष्टक,śrīveṣṭaka,श्रीवेष्टक,Pinus roxburghii Sargent.,Accepted source,Is the resinous exudation obtained from this species,[1]
S,7,Srngalabadari,श्रृङ्गालबदरी,śrṛṅgālabadarī,श्रृङ्गालबदरी,Zizyphus oenophia Mill.,Accepted source,Its identified with this species,[5]
S,7,Srngataka,श्रृङ्गाटक,śrṛṅgāṭaka,श्रृङ्गाटिक,Pedalium murex Linn.,Accepted source,With regard to its morphology and properties it is identified with this species,[5]
S,7,Srngataka,श्रृङ्गाटक,śrṛṅgāṭaka,श्रृङ्गाटक,Trapa bispinosa Roxb.,Accepted source,Identified with it,[1]
S,7,Srngataka,श्रृङ्गाटक,śrṛṅgāṭaka,श्रृङ्गाटक,Trapa natans Linn. Var. bispinosa (Roxb.) Makino.,,,[4]
S,7,Srngataka,श्रृङ्गाटक,śrṛṅgāṭaka,श्रृङ्गाटक,Trapa natans Linn. Var.bispinosa (Roxb.) Makino.,,,[3]
S,7,Srngatika,श्रृङ्गाटिक,śrṛṅgāṭika,श्रृङ्गाटिक,Pedalium murex Linn.,Accepted source,With regard to its morphology and properties it is identified with this species,[5]
S,7,Srngatika,श्रृङ्गाटिक,śrṛṅgāṭika,श्रृङ्गाटक,Trapa bispinosa Roxb.,Accepted source,Identified with it,[1]
S,7,Srngatika,श्रृङ्गाटिक,śrṛṅgāṭika,श्रृङ्गाटक,Trapa natans Linn. Var. bispinosa (Roxb.) Makino.,,,[4]
S,7,Srngatika,श्रृङ्गाटिक,śrṛṅgāṭika,श्रृङ्गाटक,Trapa natans Linn. Var.bispinosa (Roxb.) Makino.,,,[3]
S,7,Srngi,श्रृङ्गी,śrṛṅgī,श्रृङ्गीविष,Aconite,Most probable,Srngivisa is a variety of poisonous Aconite believed by ancients,[1]
S,7,Srngi,श्रृङ्गी,śrṛṅgī,श्रृङ्गीविष,Aconitum chasmanthum,Accepted source,Srngivisa is identified with this species,[2]
S,7,Srngi,श्रृङ्गी,śrṛṅgī,श्रृङ्गी,Asclepiadaceae,Suggested source,Considered as a source,[1]
S,7,Srngivisa,श्रृङ्गीविष,śrṛṅgīviṣa,श्रृङ्गीविष,Aconite,Most probable,Srngivisa is a variety of poisonous Aconite believed by ancients,[1]
S,7,Srngivisa,श्रृङ्गीविष,śrṛṅgīviṣa,श्रृङ्गीविष,Aconitum chasmanthum,Accepted source,Srngivisa is identified with this species,[2]
S,7,Srngivisa,श्रृङ्गीविष,śrṛṅgīviṣa,श्रृङ्गी,Asclepiadaceae,Suggested source,Considered as a source,[1]
S,7,Sthauneyaka,स्थौणेयक,sthauṇeyaka,स्थौणेयक,Taxus baccata,Controversial,Granthiparna is a controversial drug and three plants are correlated to it; Taxus baccata is one of the correlated species,[2]
S,7,Sthauneyaka,स्थौणेयक,sthauṇeyaka,स्थौणेयक,Taxus baccata Linn.,Accepted source,Sthauneyaka is identified with this species,[5]
S,7,Sthauneyaka,स्थौणेयक,sthauṇeyaka,स्थौणेयक,Taxus baccata Linn.,Most probable,Based on the popular name 'Thuneraka' this species was considered as its source,[1]
S,7,Sthulagranthi,स्थूलग्रन्थि,sthūlagranthi,स्थूलग्रन्थि,Alpinia speciosa K. Schum.,Accepted source,It is a type of 'Vaca' which is identified with this species,[5]
S,7,Sthulagranthi,स्थूलग्रन्थि,sthūlagranthi,स्थूलग्रन्थि,Zingiber zerumbet Rose ex Smith.,Suggested source,Some of them consider this species to be as 'Sthula granthi',[5]
S,7,Sthulakanda,स्थूलकन्द,sthūlakanda,स्थूलकन्द,Colocasia esculenta (Linn.) Schott.,Most probable,Susruta has mentioned Sthulakanda along with Surana; Vagbhata has explained Bhukanda after the explanation of Surana; According to the author Sthulakanda and Bhukanda mean one and the same and has correlated with this species which is known by the name 'Kanda' or 'Banda' nowadays,[5]
S,7,Sthulakanda,स्थूलकन्द,sthūlakanda,स्थूलकन्द,Ipomoea batatas (Linn.) Lam.,,,[5]
S,7,Suci,सूची,sūcī,सूची,Atropa belladonna Linn.,,,[3]
S,7,Sudarsana,सुदर्शन,sudarśana,सुदर्शन,Crinum latifolium Linn.,,,[3]
S,7,Sudarsana - jati,सुदर्शन जाति,sudarśana jāti,सुदर्शन जाति,Crinum asiaticum Linn.,,,[3]
S,7,Sudarsana - jati,सुदर्शन जाति,sudarśana jāti,सुदर्शन जाति,Crinum defixum Ker-Gawl.,,,[3]
S,7,Sugandhaka,सुगन्धक,sugandhaka,सुगन्धक,Cymbopogon jwarancusa Schult.,Most probable,With regard to its habit this species is most probably correlated to Sugandhaka,[1]
S,7,Sukanasa,शुकनासा,śukanāsā,शुकनासा,Aristolochia indica Linn.,Controversial,"With regard to names given for Sukanasa such as Nahika etc, this species has been correlated as it has similar synonyms",[1]
S,7,Sukanasa,शुकनासा,śukanāsā,शुकनासा,Corallocarpus epigaeus Benth. ex Hook. f.,Accepted source,Identified with it,[1]
S,7,Sukanasa,शुकनासा,śukanāsā,शुकनासा,Corallocarpus epigaeus Benth. ex Hook. f.,Accepted source,Identified with this species,[5]
S,7,Sukanasa,शुकनासा,śukanāsā,शुकनासा,Corallocarpus epigaeus Benth. ex Hook. f.,Controversial,"With regard to names given for Sukanasa such as Nahika etc, this species has been correlated as it has similar synonyms",[1]
S,7,Sukanasa,शुकनासा,śukanāsā,शुकनासा,Crotalaria laburaifolia,Controversial,?,[2]
S,7,Sukanasa,शुकनासा,śukanāsā,शुकनासा,Enicostemma littorale Blume.,Controversial,"With regard to names given for Sukanasa such as Nahika etc, this species has been correlated as it has similar synonyms",[1]
