Plant Name,Distribution Map URL
Blyxa octandra (ROXB.) PLANCH.EX.THW.,http://envis.frlht.org/distrimaps/geomaps/334.jpg
Boerhavia diffusa L.,http://envis.frlht.org/distrimaps/geomaps/335.jpg
Boerhavia repens L.,http://envis.frlht.org/distrimaps/geomaps/335.jpg
Bombax ceiba L.,http://envis.frlht.org/distrimaps/geomaps/339.jpg
Bombax malabaricum DC.,http://envis.frlht.org/distrimaps/geomaps/339.jpg
Borreria articularis (L.F.) WILLIAMS,http://envis.frlht.org/distrimaps/geomaps/4536.jpg
Borreria hispida (L.) SCHUM.,http://envis.frlht.org/distrimaps/geomaps/1967.jpg
Boswellia glabra ROXB.,http://envis.frlht.org/distrimaps/geomaps/348.jpg
Boswellia serrata ROXB.,http://envis.frlht.org/distrimaps/geomaps/348.jpg
Boswellia serrata ROXB. Var. glabra (ROXB.) BENNETT,http://envis.frlht.org/distrimaps/geomaps/348.jpg
Boswellia thurifera ROXB.,http://envis.frlht.org/distrimaps/geomaps/348.jpg
Boucerosia aucheriana DECNE.,http://envis.frlht.org/distrimaps/geomaps/442.jpg
Bridelia montana WILLD.,http://envis.frlht.org/distrimaps/geomaps/371.jpg
Bryonia epigoea ROTTL..,http://envis.frlht.org/distrimaps/geomaps/637.jpg
Bryonia laciniosa L.,http://envis.frlht.org/distrimaps/geomaps/839.jpg
Bryonopsis laciniosa NAUD.,http://envis.frlht.org/distrimaps/geomaps/839.jpg
Buchanania lanzan SPR.,http://envis.frlht.org/distrimaps/geomaps/374.jpg
Buchanania latifolia ROXB.,http://envis.frlht.org/distrimaps/geomaps/374.jpg
Bunium persicum (BOISS.) FEDT.,http://envis.frlht.org/distrimaps/geomaps/5998.jpg
Butea frondosa ROXB. ET KOEN.,http://envis.frlht.org/distrimaps/geomaps/376.jpg
Butea monosperma (LAM.) TAUB.,http://envis.frlht.org/distrimaps/geomaps/376.jpg
Butea monosperma (LAM.) TAUB. Var. monosperma -,http://envis.frlht.org/distrimaps/geomaps/376.jpg
Butea superba ROXB.,http://envis.frlht.org/distrimaps/geomaps/379.jpg
Cacalia sonchifolia L.,http://envis.frlht.org/distrimaps/geomaps/894.jpg
Cachrys pabularia (LINDL.) HERRNST.,http://envis.frlht.org/distrimaps/geomaps/382.jpg
Cadaba trifoliata WIGHT & ARN.,http://envis.frlht.org/distrimaps/geomaps/380.jpg
Caesalpinia bonduc (L.) ROXB.,http://envis.frlht.org/distrimaps/geomaps/384.jpg
Caesalpinia bonducella (L.) FLEMING,http://envis.frlht.org/distrimaps/geomaps/384.jpg
Caesalpinia digyna ROTTL.,http://envis.frlht.org/distrimaps/geomaps/388.jpg
Calacanthus grandiflorus (DALZ.) RADLK..,http://envis.frlht.org/distrimaps/geomaps/395.jpg
Calamus rotang L.,http://envis.frlht.org/distrimaps/geomaps/397.jpg
Calamus tenuis ROXB.,http://envis.frlht.org/distrimaps/geomaps/398.jpg
Calamus travancoricus BEDD. EX HOOK. F.,http://envis.frlht.org/distrimaps/geomaps/399.jpg
Calamus viminalis WILLD.,http://envis.frlht.org/distrimaps/geomaps/400.jpg
Callicarpa lanata L.,http://envis.frlht.org/distrimaps/geomaps/2312.jpg
Callicarpa macrophylla VAHL,http://envis.frlht.org/distrimaps/geomaps/403.jpg
Callicarpa tomentosa (L.) MURRAY,http://envis.frlht.org/distrimaps/geomaps/2312.jpg
Calophyllum inophyllum L.,http://envis.frlht.org/distrimaps/geomaps/408.jpg
Calosanthes indica BLUME,http://envis.frlht.org/distrimaps/geomaps/1567.jpg
Calotropis gigantea (L.) R.BR.,http://envis.frlht.org/distrimaps/geomaps/409.jpg
Calotropis procera R.BR.,http://envis.frlht.org/distrimaps/geomaps/412.jpg
Calycopteris floribunda LAM.,http://envis.frlht.org/distrimaps/geomaps/413.jpg
Calyptranthes jambolana MOON.,http://envis.frlht.org/distrimaps/geomaps/2029.jpg
Canarium resiniferum BRUCE EX KING,http://envis.frlht.org/distrimaps/geomaps/418.jpg
Canarium strictum ROXB.,http://envis.frlht.org/distrimaps/geomaps/418.jpg
Canscora decussata SCHULTES & SCHULTES.F.,http://envis.frlht.org/distrimaps/geomaps/425.jpg
Capparis corundas -,http://envis.frlht.org/distrimaps/geomaps/447.jpg
Capparis horrida L.F.,http://envis.frlht.org/distrimaps/geomaps/437.jpg
Capparis moonii WIGHT,http://envis.frlht.org/distrimaps/geomaps/433.jpg
Capparis roxburghii DC.,http://envis.frlht.org/distrimaps/geomaps/434.jpg
Capparis sepiaria L.,http://envis.frlht.org/distrimaps/geomaps/435.jpg
Capparis spinosa L.,http://envis.frlht.org/distrimaps/geomaps/436.jpg
Capparis zeylanica L.,http://envis.frlht.org/distrimaps/geomaps/437.jpg
Caralluma edulis BENTH.,http://envis.frlht.org/distrimaps/geomaps/442.jpg
Cardiospermum halicacabum L.,http://envis.frlht.org/distrimaps/geomaps/443.jpg
Careya arborea ROXB.,http://envis.frlht.org/distrimaps/geomaps/444.jpg
Carissa carandas L.,http://envis.frlht.org/distrimaps/geomaps/447.jpg
Carpopogon pruriens ROXB.,http://envis.frlht.org/distrimaps/geomaps/1471.jpg
Carum bulbocastanum Auct. Non Koch:C.B.CLARKE,http://envis.frlht.org/distrimaps/geomaps/5998.jpg
Carum carvi L.,http://envis.frlht.org/distrimaps/geomaps/451.jpg
Carum roxburghianum KURZ.,http://envis.frlht.org/distrimaps/geomaps/2098.jpg
Casearia esculenta ROXB.,http://envis.frlht.org/distrimaps/geomaps/459.jpg
Casearia esculentta ROXB.,http://envis.frlht.org/distrimaps/geomaps/459.jpg
