Botanical Name,Family,Systems,Synonym,Image URL,Detail URL
,APOCYNACEAE,,,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/57aa3f2d52307d5d2ab98bcebadb9410
Aganosma dichotoma (ROTH) K.SCHUM.,APOCYNACEAE,"Ayurveda, Folk, Sowa-Rigpa",Aganosma caryophyllata G.DON,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/897f3cdce4cd7d57d2544e7ae66b0bec/xclkon/3b6fb7ea26d35ef14ec0ab553076270b
Aganosma dichotoma (ROTH) K.SCHUM.,APOCYNACEAE,"Ayurveda, Folk, Sowa-Rigpa",Aganosma caryophyllata G.DON,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/897f3cdce4cd7d57d2544e7ae66b0bec
,AGARICACEAE,,,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/dfd689916059275f1c07213903897ea4
,AGARICACEAE,"Ayurveda, Siddha, Unani, Homeopathy, Folk",,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/cf287e196320e52c1b7acb05d65234fb
Sesbania grandiflora (L.) POIRET,FABACEAE,"Ayurveda, Siddha, Unani, Folk, Sowa-Rigpa",Agati grandiflora (L.) DEN,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/69094b6f1ba1d0b9964388ec214b1e16/xclkon/c9902c87a0feb76e78ab8e0476de1672
Agave cantala ROXB.,AGAVACEAE,"Ayurveda, Siddha, Unani, Homeopathy",Agave americana L.,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/3a390f62ba228d9a01c79760c8d44185/xclkon/4aee59ebf9f03a4ca665de9ce78a7a4b
Agave angustifolia HAW.,AGAVACEAE,"Ayurveda, Siddha, Folk",,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/0b9e26987fe7c0d58bfe41754f4a91f8
Agave cantala ROXB.,AGAVACEAE,"Ayurveda, Siddha, Unani, Homeopathy",Agave americana L.,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/3a390f62ba228d9a01c79760c8d44185
Agave angustifolia HAW.,AGAVACEAE,"Ayurveda, Siddha, Folk",,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/0b9e26987fe7c0d58bfe41754f4a91f8/xclkon/d885fa3370777e1721c61e6edbabc19f
Ageratum conyzoides L.,ASTERACEAE,,,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/4d440ed9f5ea4aa154c73766b9cb0c47
Aglaia elaeagoidea (JUSS.) BENTH.,MELIACEAE,"Ayurveda, Siddha, Folk",Aglaia odoratissima BLUME,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/a1196702c506e590161ca11e568e45e9
Aglaia elaeagoidea (JUSS.) BENTH.,MELIACEAE,"Ayurveda, Siddha, Folk",Aglaia odoratissima BLUME,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/a1196702c506e590161ca11e568e45e9/xclkon/18acd5715973bdd90e5c3d70b38585d2
Aglaia elaeagoidea (JUSS.) BENTH.,MELIACEAE,"Ayurveda, Siddha, Folk",Aglaia odoratissima BLUME,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/a1196702c506e590161ca11e568e45e9/xclkon/ab4eafbc77fae2da372824c74f244474
Cynodon dactylon (L.) PERS.,POACEAE,"Ayurveda, Siddha, Unani, Homeopathy, Folk, Sowa-Rigpa",,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/b4bff9ff2e61651c614600eaf8529bcb/xclkon/242bc1ca42180fb673bcbb4fd196927c
Ailanthus excelsa ROXB.,SIMAROUBACEAE,,,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/e4521218e11cf72cabb8fb1be26a8ee8
