Botanical Name,Family,Systems,Synonym,Image URL,Detail URL
Lantana camara L.,VERBENACEAE,"Ayurveda, Folk",Lantana aculeata L.,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/9789dc17ec561185e8fb588223950f73/xclkon/54ae65a2c52054c8e06d815094a71547
Lantana camara L.,VERBENACEAE,"Ayurveda, Folk",Lantana aculeata L.,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/9789dc17ec561185e8fb588223950f73
Lantana camara L.,VERBENACEAE,"Ayurveda, Folk",Lantana aculeata L.,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/9789dc17ec561185e8fb588223950f73/xclkon/6aa5247d2c1e3524218f8114dd224be9
,ARACEAE,,,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/12498af454c684db03d297ae71cb0c41
Lathyrus sativus L.,FABACEAE,,,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/c17b959a5b1e5adc4a69c2971497f68d
,LAURACEAE,"Ayurveda, Siddha, Unani, Homeopathy, Folk, Sowa-Rigpa",,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/c28e0da32f82e38f233cc690e98d4788/xclkon/896db3dd89283ff19dbf809760b2aeba
,LAMIACEAE,"Ayurveda, Folk",,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/6e3829c0c66130ddc56e5a8449cf6e53
,LAMIACEAE,"Ayurveda, Folk",,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/6e3829c0c66130ddc56e5a8449cf6e53/xclkon/ae2fb297ce748f75ba75f302b15e464e
Anisochilus carnosus WALL.,LAMIACEAE,"Ayurveda, Siddha, Folk",Anisochilus camosus WALL. Lavandula carnosa L.,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/88237f29fe01d1ec5688272c8439b082/xclkon/794abe269d3987cd6e370f78ad5ce951
Lawsonia inermis L.,LYTHRACEAE,"Ayurveda, Siddha, Unani, Folk, Sowa-Rigpa",Lawsonia alba LAM.,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/87ff7185526f449e897125584c3d7fe5/xclkon/a0f858b2149eab23619c1cefd0625178
Lawsonia inermis L.,LYTHRACEAE,"Ayurveda, Siddha, Unani, Folk, Sowa-Rigpa",Lawsonia alba LAM.,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/87ff7185526f449e897125584c3d7fe5
Lawsonia inermis L.,LYTHRACEAE,"Ayurveda, Siddha, Unani, Folk, Sowa-Rigpa",Lawsonia alba LAM.,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/87ff7185526f449e897125584c3d7fe5/xclkon/d7f7b3d4ccc4ef36c9d7ca4362a93788
Leea aequata L.,LEEACEAE,"Ayurveda, Siddha, Folk",Leea arguata L. Leea hirta ROXB EX HORNEIM,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/d2ca687e3aa5c4746a78a057aa3f6e75
Leea aequata L.,LEEACEAE,"Ayurveda, Siddha, Folk",Leea arguata L. Leea hirta ROXB EX HORNEIM,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/d2ca687e3aa5c4746a78a057aa3f6e75/xclkon/5dc840a0ad8499f2f338baf83d917fc9
Leea aequata L.,LEEACEAE,"Ayurveda, Siddha, Folk",Leea arguata L. Leea hirta ROXB EX HORNEIM,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/d2ca687e3aa5c4746a78a057aa3f6e75/xclkon/5a0cba24c5ccb29f6b6f5b6e607352b6
Leea indica MERILL,LEEACEAE,"Ayurveda, Siddha, Folk",Leea sambucina BENTH.,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/642f49ea271f121aaa7aaf11a721245a
Leea macrophylla ROXB. EX HORN.,LEEACEAE,"Ayurveda, Folk",Leea robusta ROXB. HORT. BENG.,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/bf139623c345de113aa95d9aee260869
Leea macrophylla ROXB. EX HORN.,LEEACEAE,"Ayurveda, Folk",Leea robusta ROXB. HORT. BENG.,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/bf139623c345de113aa95d9aee260869/xclkon/74edac2ead4f9d84d9271be8e7fc587e
Leea indica MERILL,LEEACEAE,"Ayurveda, Siddha, Folk",Leea sambucina BENTH.,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/642f49ea271f121aaa7aaf11a721245a/xclkon/5e5ad653ac1ac8665a43b7b7777f37cf
Wolffia globosa (ROXB.) HARTOG & PLAS,LEMNACEAE,"Ayurveda, Folk",Lemna globosa ROXB.,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/69187ed4c69f42fd55e943f0c5e47a94/xclkon/e5f3833ac6149fb814f12f52f4faf3fd
Lens culinaris MEDIC.,FABACEAE,"Ayurveda, Siddha, Unani, Folk",Lens esculenta MOENCH,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/5e6e9064b1e2255ae069f638135e0d46
Lens culinaris MEDIC.,FABACEAE,"Ayurveda, Siddha, Unani, Folk",Lens esculenta MOENCH,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/5e6e9064b1e2255ae069f638135e0d46/xclkon/2c61d5d0b73867702c16438b774e8ab1
Leonotis nepetaefolia R.BR.,LAMIACEAE,,,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/c8a37987cdcbc9dbae0e797c04080c5e
Lepidium sativum L.,BRASSICACEAE,,,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/b9bf5471eb2d105f4354cba4cac4dd74
Leptadenia spartium WIGHT,ASCLEPIADACEAE,Ayurveda,Gymnema spartium WALL. Leptadenia pyrotechnica DCNE,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/be2415ffb71cfbb5651d00611a2ffcd7/xclkon/e95d1c53e4ee85cfe5ca77c617b990e1
Leptadenia reticulata (RETZ.) WIGHT & ARN.,ASCLEPIADACEAE,"Ayurveda, Siddha, Sowa-Rigpa",,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/5d5a5809b66f48a72e7fd20abfe12443
Leptadenia spartium WIGHT,ASCLEPIADACEAE,Ayurveda,Gymnema spartium WALL. Leptadenia pyrotechnica DCNE,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/be2415ffb71cfbb5651d00611a2ffcd7
,CONVOLVULACEAE,,,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/df506e30bce99efcef6e689f81d2ba4a
Argyreia nervosa (BURM.F.) BOJ.,CONVOLVULACEAE,"Ayurveda, Siddha, Unani, Folk, Sowa-Rigpa",Argyreia speciosa SWEET,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/607d1f5c66e7f3b95ed1190ae2e627e0/xclkon/70fc69ea9940b7447ffbeefa12ecd006
,CONVOLVULACEAE,"Ayurveda, Siddha",,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/19b26d637c9700cd448e8e1a5f3b01ce/xclkon/835397b5a119b56d9c405df9d8c12e5c
Leucas plukenetii (ROTH) SPRENG.,LAMIACEAE,"Ayurveda, Siddha, Homeopathy, Folk",Leucas aspera (WILLD.) SPRENG.,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/afe44c6c60dec559b333cc33a2a80fbc/xclkon/60bdbfc3aa618131f8631923ed780d11
Leucas cephalotes (ROTH.) SPR.,LAMIACEAE,"Ayurveda, Siddha, Folk, Sowa-Rigpa",Leucas capitata DESF.,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/f7a4c676664865e9c0c3e257933d566e/xclkon/914cf0f3d99809bfad8a5b066e896d9a
Leucas cephalotes (ROTH.) SPR.,LAMIACEAE,"Ayurveda, Siddha, Folk, Sowa-Rigpa",Leucas capitata DESF.,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/f7a4c676664865e9c0c3e257933d566e
Leucas lavandulifolia J.E. SM.,LAMIACEAE,"Ayurveda, Siddha, Folk",Leucas indica (L.) R.BR. EX VATKE,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/ee308457cb89396ca4964bb9413988fc/xclkon/f3692175190ffa3f1c46c6b391a9b6e3
Leucas lavandulifolia J.E. SM.,LAMIACEAE,"Ayurveda, Siddha, Folk",Leucas indica (L.) R.BR. EX VATKE,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/ee308457cb89396ca4964bb9413988fc
Leucas lavandulifolia J.E. SM.,LAMIACEAE,"Ayurveda, Siddha, Folk",Leucas indica (L.) R.BR. EX VATKE,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/ee308457cb89396ca4964bb9413988fc/xclkon/7c753e476944a6dda69ca570a3c5375c
Leucas plukenetii (ROTH) SPRENG.,LAMIACEAE,"Ayurveda, Siddha, Homeopathy, Folk",Leucas aspera (WILLD.) SPRENG.,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/afe44c6c60dec559b333cc33a2a80fbc
Leucas stricta BENTH.,LAMIACEAE,,,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/51ef763030311836a565cba8407de5d1
Nymphoides hydrophylla (LOUR.) KUNTZE,MENYANTHACEAE,"Ayurveda, Siddha, Folk",Limnanthemum cristatum GRISEB.,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/6d297870cc3cc448dac4f1ba6bfd6b44/xclkon/672297211d64f8bc9e605638b40fa630
,SCROPHULARIACEAE,"Ayurveda, Folk",,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/570910d7322452b271c911493c3939b9
Limnophila indica (L.) DRUCE,SCROPHULARIACEAE,"Ayurveda, Folk",Limnophila gratioloides R.BR.,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/a2b7f58641626a5cf7bec92927c70877/xclkon/a6391a27969d673c6bb9042cc581dedd
,SCROPHULARIACEAE,"Ayurveda, Folk",,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/570910d7322452b271c911493c3939b9/xclkon/e92c02e91b43829eb449945dbdbdfd08
Limnophila indica (L.) DRUCE,SCROPHULARIACEAE,"Ayurveda, Folk",Limnophila gratioloides R.BR.,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/a2b7f58641626a5cf7bec92927c70877
Limnophila indica (L.) DRUCE,SCROPHULARIACEAE,"Ayurveda, Folk",Limnophila gratioloides R.BR.,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/a2b7f58641626a5cf7bec92927c70877/xclkon/eac29b4e905819b1268b131915f383a0
,ORCHIDACEAE,,,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/62e48f4f53ec30c9d4317706cba8db29
Limonia acidissima L.,RUTACEAE,"Ayurveda, Siddha, Unani, Folk",Feronia elephantum CORREA,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/11190a784a6fa132fd4ad578e337bcea
Naringi crenulata (ROXB.) NICOLSON,RUTACEAE,"Ayurveda, Siddha, Folk",Hesperethusa crenulata (ROXB.) M. ROEM.,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/88b6416bfbb3910dc4dbcde8c2703e96/xclkon/0312fbdd9006634079d7473884dd4c7d
Linum usitatissimum L.,LINACEAE,,,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/adb4f68599320ec4cc508da6b4bc430d
Phyla nodiflora (L.) GREENE,VERBENACEAE,"Ayurveda, Siddha, Unani, Folk",Lippia nodiflora MICH.,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/0168ddb652e357ac3bf768a36264f947/xclkon/93433ae3241998392139c08cf476ecee
,HAMAMELIDACEAE,,,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/b4cbed0e0d264b831d09c49efdeb9c54
,HAMAMELIDACEAE,,,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/bb3bf1e7d6efb2d196a542ef3afa446e
Litsea glutinosa (LOUR.) ROBINSON,LAURACEAE,"Ayurveda, Siddha, Unani, Folk",Litsea chinensis LAM.,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/0637eb3e4addf2dee845ceecd804ae77/xclkon/10bde176ead13d3400989e7609b63041
,LAURACEAE,"Ayurveda, Folk",,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/e7824c5e8f04961408b83a0f533eb36a/xclkon/0e524daae180ea4762c86770375994ae
,LAURACEAE,"Ayurveda, Folk",,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/e7824c5e8f04961408b83a0f533eb36a
Litsea glutinosa (LOUR.) ROBINSON,LAURACEAE,"Ayurveda, Siddha, Unani, Folk",Litsea chinensis LAM.,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/0637eb3e4addf2dee845ceecd804ae77/xclkon/408aa8d0996e53cf57374e9968508379
Litsea glutinosa (LOUR.) ROBINSON,LAURACEAE,"Ayurveda, Siddha, Unani, Folk",Litsea chinensis LAM.,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/0637eb3e4addf2dee845ceecd804ae77
Litsea monopetala (ROXB.) PERS.,LAURACEAE,"Ayurveda, Siddha, Folk",Litsea polyantha JUSS.,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/e24163c4d6fcf2180358ba5a23da9e47
Litsea monopetala (ROXB.) PERS.,LAURACEAE,"Ayurveda, Siddha, Folk",Litsea polyantha JUSS.,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/e24163c4d6fcf2180358ba5a23da9e47/xclkon/b1f3b793e18841fe25a2012483ec94fb
Litsea glutinosa (LOUR.) ROBINSON,LAURACEAE,"Ayurveda, Siddha, Unani, Folk",Litsea chinensis LAM.,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/0637eb3e4addf2dee845ceecd804ae77/xclkon/17503f6bcc87e9a5699950bef2859a87
Lobelia nicotianaefolia ROTH. EX. R. & S.,LOBELIACEAE,,,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/72c80a5a5d4643db16ecd64e09d00f26
Catharanthus pusillus (MURR.) G. DON,APOCYNACEAE,"Ayurveda, Siddha, Folk",Lochnera pusilla K.SCHUM.,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/be52ef142a4bf30adacec5315f0ee7e5/xclkon/7b01c268d6be73ea6b355eb0cb9ecd6a
Catharanthus roseus (L.) G.DON,APOCYNACEAE,"Ayurveda, Siddha, Folk",Lochnera rosea REICHB.,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/6d9f8e9bebdec421ee02eb5709bbca66/xclkon/8f8b3bf29623526b943200b3d53f7464
,ARECACEAE,"Ayurveda, Siddha, Unani, Folk",,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/770f328a0c95044142db38382574f2af
,ARECACEAE,"Ayurveda, Siddha, Unani, Folk",,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/770f328a0c95044142db38382574f2af/xclkon/a72dd7e0f465169f00ec49f0b779f0b3
,LORANTHACEAE,,,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/e4bddd7b5c64671fddbef72add6504ce
,LORANTHACEAE,"Ayurveda, Folk",,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/51ea9880bd0805916903c69e32a0555a/xclkon/6f388937960bd3e61d5b601e57ed5363
Dendrophthoe falcata (L.F) ETTING.,LORANTHACEAE,"Ayurveda, Siddha, Folk",Loranthus falcatus L.F.,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/c90f8a2b28b3cbebb4cd1fb3068ad5a7/xclkon/c2165a3b69cc4aee04953d7aad5be930
Dendrophthoe falcata (L.F) ETTING.,LORANTHACEAE,"Ayurveda, Siddha, Folk",Loranthus falcatus L.F.,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/c90f8a2b28b3cbebb4cd1fb3068ad5a7/xclkon/821c2a98f003cd27fe4d9718022ac47c
Dendrophthoe falcata (L.F) ETTING.,LORANTHACEAE,"Ayurveda, Siddha, Folk",Loranthus falcatus L.F.,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/c90f8a2b28b3cbebb4cd1fb3068ad5a7/xclkon/6b0e30c2a3f7be69fc9562c123447a64
Ludwigia octovalvis (JACQ.) RAVEN,ONAGRACEAE,"Ayurveda, Siddha, Folk",Jussiaea suffruticosa L.,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/d1e4264a6fef33d869ce7c1f035e522b
Ludwigia octovalvis (JACQ.) RAVEN,ONAGRACEAE,"Ayurveda, Siddha, Folk",Jussiaea suffruticosa L.,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/d1e4264a6fef33d869ce7c1f035e522b/xclkon/d2a4ce9b3e9eda7e8a222bee8babe5e8
Luffa acutangula (L.) ROXB.,CUCURBITACEAE,,,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/f723ab5d64bea1511a90c43317cb5697
Luffa acutangula ROXB. var. amara (ROXB.) CL.,CUCURBITACEAE,"Ayurveda, Siddha, Homeopathy",Luffa amara ROXB.,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/6fbfce690f7bad8fd142e27835f7bf4a
Luffa cylindrica (L.) M.J. ROEM.,CUCURBITACEAE,"Ayurveda, Siddha, Unani, Folk, Sowa-Rigpa",Luffa aegyptiaca MILL. EX. HOOK.F.,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/42a309fa9378a8bdc2426fa5e4ddf16f/xclkon/778e472c354c2b6c27bdbc24e2692eed
Luffa acutangula ROXB. var. amara (ROXB.) CL.,CUCURBITACEAE,"Ayurveda, Siddha, Homeopathy",Luffa amara ROXB.,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/6fbfce690f7bad8fd142e27835f7bf4a/xclkon/a31e687c8cf997c7ba0f576cd8ae0033
Luffa cylindrica (L.) M.J. ROEM.,CUCURBITACEAE,"Ayurveda, Siddha, Unani, Folk, Sowa-Rigpa",Luffa aegyptiaca MILL. EX. HOOK.F.,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/42a309fa9378a8bdc2426fa5e4ddf16f
Luffa echinata ROXB.,CUCURBITACEAE,,,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/517e75a67d453c30d1fb46f62bc5d87e
Luffa graveolens ROXB.,CUCURBITACEAE,,,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/180009dcf3f64171795122deb79c7be9
,CUCURBITACEAE,,,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/a7d1e1c988e599ac88cc9bd5a4960b0e
Luffa cylindrica (L.) M.J. ROEM.,CUCURBITACEAE,"Ayurveda, Siddha, Unani, Folk, Sowa-Rigpa",Luffa aegyptiaca MILL. EX. HOOK.F.,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/42a309fa9378a8bdc2426fa5e4ddf16f/xclkon/d28b78907024a493e092dd6b95889287
Luvunga scandens (BLUME) KURZ.,RUTACEAE,,,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/a64e94f7d8c221b0536b6c8703252af0
,BORAGINACEAE,"Ayurveda, Folk",,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/cd30c7824407b5b2e6b5a148bc973708/xclkon/5af4fbd840250035a30a7b6b7faf11bc
Macrotyloma uniflorum (LAM.) VERDC.,FABACEAE,"Ayurveda, Siddha, Unani, Folk, Sowa-Rigpa",Dolichos biflorus SENSU AUCT.,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/16e1d08182cf90b7c5f7cc027e6ccbfd
,SAPOTACEAE,"Ayurveda, Folk",,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/13abc384d83346dcb2ce617d255f4e77/xclkon/3ff4adb60ccba96c944ebff4d146d791
,SAPOTACEAE,,,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/e3fcc9689d388df7e1e5be34ebefce8d
Madhuca longifolia (KOEN.) MACLER,SAPOTACEAE,"Ayurveda, Siddha, Folk",Bassia latifolia ROXB.,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/ec2a2de5f7117118a08d489c667667a7
Maerua oblongifolia (FORSK.) A.RICH,CAPPARACEAE,"Ayurveda, Siddha, Folk, Sowa-Rigpa",Maerua arenaria HOOK,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/bc77c2aa87e1ff114f907d3113143778/xclkon/ac6ea730c6dfc3398882309d2305a899
Maerua oblongifolia (FORSK.) A.RICH,CAPPARACEAE,"Ayurveda, Siddha, Folk, Sowa-Rigpa",Maerua arenaria HOOK,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/bc77c2aa87e1ff114f907d3113143778
,LAMIACEAE,"Ayurveda, Siddha, Unani, Homeopathy, Sowa-Rigpa",,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/84e4b831f506c0fdda468af246ecea3a
"Crepidium acuminatum (D.DON) SZLAC. X Family - ORCHIDACEAE System(s) of Indian Medicine - Ayurveda, Folk Botanical Synonyms (3) - Malaxis acuminata D.DON",ORCHIDACEAE,"Ayurveda, Folk",Malaxis acuminata D.DON,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/9cb904855a72c0103ad947cad38c467d/xclkon/abf16a32e47a7e2de821c8aeda3f4fc4
"Crepidium acuminatum (D.DON) SZLAC. X Family - ORCHIDACEAE System(s) of Indian Medicine - Ayurveda, Folk Botanical Synonyms (3) - Malaxis acuminata D.DON",ORCHIDACEAE,"Ayurveda, Folk",Malaxis acuminata D.DON,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/9cb904855a72c0103ad947cad38c467d/xclkon/5f094693baa20ce3d5f3250e2add0aed
Malaxis muscifera (LINDLEY) KUNTZE,ORCHIDACEAE,"Ayurveda, Folk, Sowa-Rigpa",,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/381cef2ef3f0adfdd22eb31d60c0c0bf
Mallotus philippensis (LAM.) MUELL.-ARG.,EUPHORBIACEAE,,,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/fa0da0533b2e7dd6174428ddf3b49a08
"Malus pumila MILL. X Family - ROSACEAE System(s) of Indian Medicine - Ayurveda, Siddha, Unani, Sowa-Rigpa Botanical Synonyms (1) - Pyrus malus L.",ROSACEAE,"Ayurveda, Siddha, Unani, Sowa-Rigpa",Pyrus malus L.,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/ebc61e9fd917afa9686a83901f4e38e7
Malva rotundifolia L.,MALVACEAE,"Ayurveda, Siddha, Folk",Malva neglecta WALL.,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/01a432273760799f30363f6cbe9c261a/xclkon/7bc3aca916d12aa5efd48d60da273e7d
Malva rotundifolia L.,MALVACEAE,"Ayurveda, Siddha, Folk",Malva neglecta WALL.,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/01a432273760799f30363f6cbe9c261a
Mammea suriga (BUCH.-HAM. EX ROXB.),CLUSIACEAE,"Ayurveda, Siddha, Folk",Mammea longifolia PLANCH. & TRIANA.,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/20538932dc67840fe5313c4b4b3d8bb9/xclkon/0cba081211e98101038748f166dc0838
Mammea suriga (BUCH.-HAM. EX ROXB.),CLUSIACEAE,"Ayurveda, Siddha, Folk",Mammea longifolia PLANCH. & TRIANA.,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/20538932dc67840fe5313c4b4b3d8bb9
,SOLANACEAE,"Ayurveda, Folk",,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/ddade919c7ce0fa66821e9482e5d83e4
,SOLANACEAE,"Ayurveda, Folk",,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/ddade919c7ce0fa66821e9482e5d83e4/xclkon/04e5d221197d4d405e70b7fdc766639d
Mangifera indica L.,ANACARDIACEAE,"Ayurveda, Siddha, Unani, Homeopathy, Folk, Sowa-Rigpa",,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/8a83ef9a6450c46b4347fb66fd4858d4/xclkon/528e0ffee6613210aa5f75c78d35f842
Mangifera indica L.,ANACARDIACEAE,"Ayurveda, Siddha, Unani, Homeopathy, Folk, Sowa-Rigpa",,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/8a83ef9a6450c46b4347fb66fd4858d4
Mangifera sylvatica ROXB.,ANACARDIACEAE,,,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/b351270dcc0cf9357d1b8bccd8265ddd
Manihot esculenta CRANTZ,EUPHORBIACEAE,"Ayurveda, Siddha, Homeopathy",Manihot utilissima POHL,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/3f3a1acacee5a1e5a84d6d3412622e43
Manihot esculenta CRANTZ,EUPHORBIACEAE,"Ayurveda, Siddha, Homeopathy",Manihot utilissima POHL,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/3f3a1acacee5a1e5a84d6d3412622e43/xclkon/c80e8c56413f52855ab6f284b8cc0565
Manilkara hexandra (ROXB.) DUBARD,SAPOTACEAE,"Ayurveda, Siddha, Unani, Folk, Sowa-Rigpa",Mimusops hexandra ROXB.,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/17104b3b47f47163e185684f28288000
"Manilkara kauki (L.) DUBJ. X Family - SAPOTACEAE System(s) of Indian Medicine - Ayurveda, Siddha, Unani, Folk Botanical Synonyms (1) - Mimusops kauki L.",SAPOTACEAE,"Ayurveda, Siddha, Unani, Folk",Mimusops kauki L.,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/49d8109eef180fea9951f7daf4312d5d
Hackelochloa granularis (L.) KUNTZE,POACEAE,"Ayurveda, Folk",Manisuris granularis L.,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/e304d978335d8cc5affab2bb2315585f/xclkon/f16a06544e4ca8b6ef0611917b42b520
,MARANTACEAE,"Ayurveda, Siddha, Folk",,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/1ef3674b851bafc5cc4e79c5ffe69d09/xclkon/88cb05697348dcf5419b53dd39955f2c
,MARANTACEAE,"Ayurveda, Siddha, Folk",,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/1ef3674b851bafc5cc4e79c5ffe69d09
Marsdenia roylei WIGHT,ASCLEPIADACEAE,,,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/bb62a225489176c0a23ba1afa52dc7a3
Marsdenia tenacissima (ROXB.) MOON,ASCLEPIADACEAE,,,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/55932a997069277821e1beb2addca1f5
Wattakaka volubilis (L.F.) STAPF,ASCLEPIADACEAE,"Ayurveda, Siddha, Unani, Folk",Asclepias volubilis L.F.,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/66abd203e28e8a1260e62436cbe8a63d/xclkon/8a849307e97e175a2d269d8136ad1d43
,MARSILEACEAE,,,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/f487751e4ee70be818ae559375e6c306
,MARSILEACEAE,,,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/9c15fb23de218f7f200e7f2d57247b9f
,MARSILEACEAE,,,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/c9945fc62f09276aad3562d367dab6d6
Martynia annua L.,PEDALIACEAE,"Ayurveda, Siddha, Folk",Martnia diandra GLOX. Martynia diandra GLOX.,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/95a099dc5b93175361cf6464f11c1c08/xclkon/ff33b1f47728301a131b2f0be3543362
Martynia annua L.,PEDALIACEAE,"Ayurveda, Siddha, Folk",Martnia diandra GLOX. Martynia diandra GLOX.,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/95a099dc5b93175361cf6464f11c1c08
Martynia annua L.,PEDALIACEAE,"Ayurveda, Siddha, Folk",Martnia diandra GLOX. Martynia diandra GLOX.,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/95a099dc5b93175361cf6464f11c1c08/xclkon/953967b7d49d297b9d071b53c6b3620e
